#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LRRK2	SQSTM1	9606.ENSP00000298910	9606.ENSP00000374455	0	0.457	0	0	0.457
LRRK2	MAPT	9606.ENSP00000298910	9606.ENSP00000340820	0	0.457	0	0	0.457
LRRK2	SNCA	9606.ENSP00000298910	9606.ENSP00000500990	0	0.457	0	0	0.457
MAPT	PPP5C	9606.ENSP00000340820	9606.ENSP00000012443	0	0.457	0	0	0.457
MAPT	MARK4	9606.ENSP00000340820	9606.ENSP00000262891	0	0.438	0	0	0.438
MAPT	YWHAE	9606.ENSP00000340820	9606.ENSP00000264335	0	0.570	0	0	0.570
MAPT	RPS27A	9606.ENSP00000340820	9606.ENSP00000272317	0	0.457	0	0	0.457
MAPT	MARK1	9606.ENSP00000340820	9606.ENSP00000483424	0	0.457	0	0	0.457
MAPT	SQSTM1	9606.ENSP00000340820	9606.ENSP00000374455	0	0.457	0	0	0.457
MAPT	SNCA	9606.ENSP00000340820	9606.ENSP00000500990	0	0.457	0	0	0.457
MAPT	MARK2	9606.ENSP00000340820	9606.ENSP00000385751	0	0.618	0	0	0.618
MARK1	YWHAE	9606.ENSP00000483424	9606.ENSP00000264335	0	0.421	0	0	0.420
MARK1	MARK2	9606.ENSP00000483424	9606.ENSP00000385751	0	0.584	0	0	0.584
MARK2	YWHAE	9606.ENSP00000385751	9606.ENSP00000264335	0	0.457	0	0	0.457
MARK2	MARK3	9606.ENSP00000385751	9606.ENSP00000411397	0	0.647	0	0	0.647
MARK3	MARK4	9606.ENSP00000411397	9606.ENSP00000262891	0	0.538	0	0	0.538
MARK3	YWHAE	9606.ENSP00000411397	9606.ENSP00000264335	0	0.457	0	0	0.457
MARK4	YWHAE	9606.ENSP00000262891	9606.ENSP00000264335	0	0.421	0	0	0.420
MT-ND1	MT-ND2	9606.ENSP00000354687	9606.ENSP00000355046	0	0.945	0	0	0.945
PICALM	RPS27A	9606.ENSP00000377015	9606.ENSP00000272317	0	0.900	0	0	0.900
PICALM	UBC	9606.ENSP00000377015	9606.ENSP00000441543	0	0.900	0	0	0.900
PICALM	UBB	9606.ENSP00000377015	9606.ENSP00000478771	0	0.900	0	0	0.900
PICALM	UBA52	9606.ENSP00000377015	9606.ENSP00000388107	0	0.900	0	0	0.900
PRDX1	PRDX2	9606.ENSP00000262746	9606.ENSP00000301522	0	0.636	0	0	0.636
PSEN1	UBC	9606.ENSP00000326366	9606.ENSP00000441543	0	0.457	0	0	0.457
PSEN1	UBQLN1	9606.ENSP00000326366	9606.ENSP00000365576	0	0.483	0	0	0.483
PSEN1	PSEN2	9606.ENSP00000326366	9606.ENSP00000355747	0	0.734	0	0	0.734
PSEN2	UBQLN1	9606.ENSP00000355747	9606.ENSP00000365576	0	0.457	0	0	0.457
PSMD4	RPS27A	9606.ENSP00000357876	9606.ENSP00000272317	0	0.974	0	0	0.974
PSMD4	UBQLN1	9606.ENSP00000357876	9606.ENSP00000365576	0	0.736	0	0	0.736
PSMD4	UBA52	9606.ENSP00000357876	9606.ENSP00000388107	0	0.953	0	0	0.953
PSMD4	UBC	9606.ENSP00000357876	9606.ENSP00000441543	0	0.956	0	0	0.956
PSMD4	UBB	9606.ENSP00000357876	9606.ENSP00000478771	0	0.963	0	0	0.963
RBM25	SREK1	9606.ENSP00000261973	9606.ENSP00000334538	0	0.462	0	0	0.461
RPS27A	UBE2L3	9606.ENSP00000272317	9606.ENSP00000400906	0	0.591	0	0	0.591
RPS27A	SQSTM1	9606.ENSP00000272317	9606.ENSP00000374455	0	0.550	0	0	0.550
