Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs	Gene Ontology (GO)	STRING
A1KXE4	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	FAM168B KIAA0280L MANI		axon [GO:0030424]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]		GO:0005886; GO:0030424; GO:0048471; GO:0070062	axon [GO:0030424]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	9606.ENSP00000374565
A4D1B5	GSAP_HUMAN	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	GSAP PION	positive regulation of amyloid-beta formation [GO:1902004]; regulation of proteolysis [GO:0030162]	trans-Golgi network [GO:0005802]	amyloid-beta binding [GO:0001540]	GO:0001540; GO:0005802; GO:0030162; GO:1902004	trans-Golgi network [GO:0005802]; amyloid-beta binding [GO:0001540]; positive regulation of amyloid-beta formation [GO:1902004]; regulation of proteolysis [GO:0030162]	9606.ENSP00000257626
O00189	AP4M1_HUMAN	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	AP4M1 MUARP2	autophagosome assembly [GO:0000045]; Golgi to endosome transport [GO:0006895]; Golgi to lysosome transport [GO:0090160]; intracellular protein transport [GO:0006886]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization [GO:0008104]; protein localization to basolateral plasma membrane [GO:1903361]; protein targeting [GO:0006605]; protein targeting to lysosome [GO:0006622]; vesicle-mediated transport [GO:0016192]	AP-4 adaptor complex [GO:0030124]; clathrin adaptor complex [GO:0030131]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome lumen [GO:0031904]; extracellular exosome [GO:0070062]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]	protein domain specific binding [GO:0019904]; protein transmembrane transporter activity [GO:0008320]	GO:0000045; GO:0005769; GO:0005802; GO:0005829; GO:0006605; GO:0006622; GO:0006886; GO:0006892; GO:0006895; GO:0008104; GO:0008320; GO:0016192; GO:0019904; GO:0030124; GO:0030131; GO:0031410; GO:0031904; GO:0032588; GO:0070062; GO:0090160; GO:1903361	AP-4 adaptor complex [GO:0030124]; clathrin adaptor complex [GO:0030131]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome lumen [GO:0031904]; extracellular exosome [GO:0070062]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; protein domain specific binding [GO:0019904]; protein transmembrane transporter activity [GO:0008320]; autophagosome assembly [GO:0000045]; Golgi to endosome transport [GO:0006895]; Golgi to lysosome transport [GO:0090160]; intracellular protein transport [GO:0006886]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization [GO:0008104]; protein localization to basolateral plasma membrane [GO:1903361]; protein targeting [GO:0006605]; protein targeting to lysosome [GO:0006622]; vesicle-mediated transport [GO:0016192]	9606.ENSP00000403663
O00213	APBB1_HUMAN	Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65)	APBB1 FE65 RIR	apoptotic process [GO:0006915]; axonogenesis [GO:0007409]; chromatin organization [GO:0006325]; DNA damage response [GO:0006974]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein secretion [GO:0050714]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]	amyloid-beta binding [GO:0001540]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; low-density lipoprotein particle receptor binding [GO:0050750]; molecular adaptor activity [GO:0060090]; proline-rich region binding [GO:0070064]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase binding [GO:0031625]	GO:0000122; GO:0001540; GO:0003682; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005886; GO:0006325; GO:0006355; GO:0006915; GO:0006939; GO:0006974; GO:0007165; GO:0007409; GO:0010976; GO:0016607; GO:0030027; GO:0030426; GO:0031625; GO:0042393; GO:0043065; GO:0045202; GO:0045893; GO:0045944; GO:0050714; GO:0050750; GO:0060090; GO:0070064; GO:1902807	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]; amyloid-beta binding [GO:0001540]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; low-density lipoprotein particle receptor binding [GO:0050750]; molecular adaptor activity [GO:0060090]; proline-rich region binding [GO:0070064]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase binding [GO:0031625]; apoptotic process [GO:0006915]; axonogenesis [GO:0007409]; chromatin organization [GO:0006325]; DNA damage response [GO:0006974]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein secretion [GO:0050714]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]	9606.ENSP00000477213
O00429	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	calcium ion transport [GO:0006816]; endocytosis [GO:0006897]; heart contraction [GO:0060047]; intracellular distribution of mitochondria [GO:0048312]; mitochondrial fission [GO:0000266]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial membrane fission [GO:0090149]; mitochondrion organization [GO:0007005]; mitocytosis [GO:0160040]; peroxisome fission [GO:0016559]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of protein secretion [GO:0050714]; protein complex oligomerization [GO:0051259]; protein localization to mitochondrion [GO:0070585]; regulation of ATP metabolic process [GO:1903578]; regulation of gene expression [GO:0010468]; regulation of mitophagy [GO:1901524]; regulation of peroxisome organization [GO:1900063]; rhythmic process [GO:0048511]	brush border [GO:0005903]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]; synaptic vesicle membrane [GO:0030672]	GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; ubiquitin protein ligase binding [GO:0031625]	GO:0000266; GO:0003924; GO:0005096; GO:0005525; GO:0005737; GO:0005739; GO:0005741; GO:0005777; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0005874; GO:0005903; GO:0005905; GO:0006816; GO:0006897; GO:0007005; GO:0008017; GO:0008289; GO:0010468; GO:0016020; GO:0016559; GO:0030672; GO:0030742; GO:0031267; GO:0031625; GO:0032991; GO:0042802; GO:0042803; GO:0043231; GO:0043653; GO:0048312; GO:0048471; GO:0048511; GO:0050714; GO:0051259; GO:0060047; GO:0070585; GO:0090023; GO:0090141; GO:0090149; GO:0160040; GO:1900063; GO:1901524; GO:1903578	brush border [GO:0005903]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]; synaptic vesicle membrane [GO:0030672]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; ubiquitin protein ligase binding [GO:0031625]; calcium ion transport [GO:0006816]; endocytosis [GO:0006897]; heart contraction [GO:0060047]; intracellular distribution of mitochondria [GO:0048312]; mitochondrial fission [GO:0000266]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial membrane fission [GO:0090149]; mitochondrion organization [GO:0007005]; mitocytosis [GO:0160040]; peroxisome fission [GO:0016559]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of protein secretion [GO:0050714]; protein complex oligomerization [GO:0051259]; protein localization to mitochondrion [GO:0070585]; regulation of ATP metabolic process [GO:1903578]; regulation of gene expression [GO:0010468]; regulation of mitophagy [GO:1901524]; regulation of peroxisome organization [GO:1900063]; rhythmic process [GO:0048511]	9606.ENSP00000449089
O00499	BIN1_HUMAN	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)	BIN1 AMPHL	cytoskeleton organization [GO:0007010]; endocytosis [GO:0006897]; endosome to lysosome transport [GO:0008333]; lipid tube assembly [GO:0060988]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902960]; negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904878]; negative regulation of potassium ion transmembrane transport [GO:1901380]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ventricular cardiac muscle cell action potential [GO:1903946]; nucleus localization [GO:0051647]; nucleus organization [GO:0006997]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of apoptotic process [GO:0043065]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of endocytosis [GO:0045807]; regulation of cell cycle process [GO:0010564]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of neuron differentiation [GO:0045664]; response to lipopolysaccharide [GO:0032496]; synaptic vesicle endocytosis [GO:0048488]; T-tubule organization [GO:0033292]	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; axon initial segment [GO:0043194]; axon terminus [GO:0043679]; cerebellar mossy fiber [GO:0044300]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome [GO:0005768]; extrinsic component of synaptic vesicle membrane [GO:0098850]; glutamatergic synapse [GO:0098978]; I band [GO:0031674]; lipid tube [GO:0060987]; membrane [GO:0016020]; node of Ranvier [GO:0033268]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; RNA polymerase II transcription repressor complex [GO:0090571]; synaptic vesicle [GO:0008021]; T-tubule [GO:0030315]; varicosity [GO:0043196]; vesicle [GO:0031982]; Z disc [GO:0030018]	actin filament binding [GO:0051015]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; clathrin binding [GO:0030276]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; phospholipid binding [GO:0005543]; protease binding [GO:0002020]; protein-folding chaperone binding [GO:0051087]; RNA polymerase binding [GO:0070063]; signaling adaptor activity [GO:0035591]; tau protein binding [GO:0048156]	GO:0000122; GO:0002020; GO:0005543; GO:0005634; GO:0005635; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0006897; GO:0006997; GO:0007010; GO:0008021; GO:0008289; GO:0008333; GO:0010564; GO:0015629; GO:0016020; GO:0019828; GO:0030018; GO:0030276; GO:0030315; GO:0030424; GO:0030425; GO:0030838; GO:0031674; GO:0031982; GO:0032496; GO:0033268; GO:0033292; GO:0035591; GO:0042802; GO:0043065; GO:0043194; GO:0043196; GO:0043679; GO:0044300; GO:0045664; GO:0045807; GO:0048156; GO:0048488; GO:0048711; GO:0051015; GO:0051020; GO:0051087; GO:0051647; GO:0060987; GO:0060988; GO:0070063; GO:0086091; GO:0090571; GO:0098794; GO:0098850; GO:0098978; GO:1901380; GO:1902430; GO:1902960; GO:1903946; GO:1904878	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; axon initial segment [GO:0043194]; axon terminus [GO:0043679]; cerebellar mossy fiber [GO:0044300]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome [GO:0005768]; extrinsic component of synaptic vesicle membrane [GO:0098850]; glutamatergic synapse [GO:0098978]; I band [GO:0031674]; lipid tube [GO:0060987]; membrane [GO:0016020]; node of Ranvier [GO:0033268]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; RNA polymerase II transcription repressor complex [GO:0090571]; synaptic vesicle [GO:0008021]; T-tubule [GO:0030315]; varicosity [GO:0043196]; vesicle [GO:0031982]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; clathrin binding [GO:0030276]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; phospholipid binding [GO:0005543]; protease binding [GO:0002020]; protein-folding chaperone binding [GO:0051087]; RNA polymerase binding [GO:0070063]; signaling adaptor activity [GO:0035591]; tau protein binding [GO:0048156]; cytoskeleton organization [GO:0007010]; endocytosis [GO:0006897]; endosome to lysosome transport [GO:0008333]; lipid tube assembly [GO:0060988]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902960]; negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904878]; negative regulation of potassium ion transmembrane transport [GO:1901380]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ventricular cardiac muscle cell action potential [GO:1903946]; nucleus localization [GO:0051647]; nucleus organization [GO:0006997]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of apoptotic process [GO:0043065]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of endocytosis [GO:0045807]; regulation of cell cycle process [GO:0010564]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of neuron differentiation [GO:0045664]; response to lipopolysaccharide [GO:0032496]; synaptic vesicle endocytosis [GO:0048488]; T-tubule organization [GO:0033292]	9606.ENSP00000316779
O14672	ADA10_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	adherens junction organization [GO:0034332]; amyloid precursor protein catabolic process [GO:0042987]; cell-cell signaling [GO:0007267]; cochlea development [GO:0090102]; constitutive protein ectodomain proteolysis [GO:0051089]; epidermal growth factor receptor ligand maturation [GO:0038004]; extracellular matrix disassembly [GO:0022617]; in utero embryonic development [GO:0001701]; integrin-mediated signaling pathway [GO:0007229]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte activation [GO:0042117]; negative regulation of cell adhesion [GO:0007162]; negative regulation of gene expression [GO:0010629]; Notch signaling pathway [GO:0007219]; pore complex assembly [GO:0046931]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of T cell chemotaxis [GO:0010820]; postsynapse organization [GO:0099173]; protein catabolic process at postsynapse [GO:0140249]; protein phosphorylation [GO:0006468]; protein processing [GO:0016485]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Notch signaling pathway [GO:0008593]; regulation of postsynapse organization [GO:0099175]; regulation of vasculature development [GO:1901342]; response to tumor necrosis factor [GO:0034612]	adherens junction [GO:0005912]; axon [GO:0030424]; cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; postsynaptic density [GO:0014069]; specific granule membrane [GO:0035579]; synaptic membrane [GO:0097060]; tertiary granule membrane [GO:0070821]; tetraspanin-enriched microdomain [GO:0097197]	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; signaling receptor binding [GO:0005102]	GO:0000139; GO:0001701; GO:0004175; GO:0004222; GO:0005102; GO:0005178; GO:0005634; GO:0005737; GO:0005788; GO:0005794; GO:0005798; GO:0005886; GO:0005912; GO:0005925; GO:0006468; GO:0006509; GO:0007162; GO:0007219; GO:0007229; GO:0007267; GO:0008237; GO:0008284; GO:0008593; GO:0009986; GO:0010629; GO:0010820; GO:0014069; GO:0016020; GO:0016485; GO:0017124; GO:0019901; GO:0022617; GO:0030136; GO:0030307; GO:0030335; GO:0030424; GO:0030425; GO:0034332; GO:0034612; GO:0035579; GO:0038004; GO:0042117; GO:0042803; GO:0042987; GO:0043231; GO:0046872; GO:0046930; GO:0046931; GO:0051089; GO:0070062; GO:0070573; GO:0070821; GO:0090102; GO:0097038; GO:0097060; GO:0097197; GO:0098696; GO:0098978; GO:0099173; GO:0099175; GO:0140249; GO:1901342; GO:1902945	adherens junction [GO:0005912]; axon [GO:0030424]; cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; postsynaptic density [GO:0014069]; specific granule membrane [GO:0035579]; synaptic membrane [GO:0097060]; tertiary granule membrane [GO:0070821]; tetraspanin-enriched microdomain [GO:0097197]; endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; signaling receptor binding [GO:0005102]; adherens junction organization [GO:0034332]; amyloid precursor protein catabolic process [GO:0042987]; cell-cell signaling [GO:0007267]; cochlea development [GO:0090102]; constitutive protein ectodomain proteolysis [GO:0051089]; epidermal growth factor receptor ligand maturation [GO:0038004]; extracellular matrix disassembly [GO:0022617]; in utero embryonic development [GO:0001701]; integrin-mediated signaling pathway [GO:0007229]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte activation [GO:0042117]; negative regulation of cell adhesion [GO:0007162]; negative regulation of gene expression [GO:0010629]; Notch signaling pathway [GO:0007219]; pore complex assembly [GO:0046931]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of T cell chemotaxis [GO:0010820]; postsynapse organization [GO:0099173]; protein catabolic process at postsynapse [GO:0140249]; protein phosphorylation [GO:0006468]; protein processing [GO:0016485]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Notch signaling pathway [GO:0008593]; regulation of postsynapse organization [GO:0099175]; regulation of vasculature development [GO:1901342]; response to tumor necrosis factor [GO:0034612]	9606.ENSP00000260408
O15269	SPTC1_HUMAN	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	SPTLC1 LCB1	ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; regulation of fat cell apoptotic process [GO:1904649]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingolipid metabolic process [GO:0006665]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; serine palmitoyltransferase complex [GO:0017059]	pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]	GO:0004758; GO:0005783; GO:0005789; GO:0006665; GO:0006686; GO:0017059; GO:0030148; GO:0030170; GO:0046511; GO:0046512; GO:0046513; GO:1904504; GO:1904649	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; serine palmitoyltransferase complex [GO:0017059]; pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]; ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; regulation of fat cell apoptotic process [GO:1904649]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingolipid metabolic process [GO:0006665]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]	9606.ENSP00000262554
O15270	SPTC2_HUMAN	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	SPTLC2 KIAA0526 LCB2	adipose tissue development [GO:0060612]; ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]	endoplasmic reticulum membrane [GO:0005789]; serine palmitoyltransferase complex [GO:0017059]	pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]	GO:0004758; GO:0005789; GO:0006686; GO:0017059; GO:0030148; GO:0030170; GO:0046511; GO:0046512; GO:0046513; GO:0060612; GO:1904504	endoplasmic reticulum membrane [GO:0005789]; serine palmitoyltransferase complex [GO:0017059]; pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]; adipose tissue development [GO:0060612]; ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]	9606.ENSP00000216484
