Entry,Entry Name,Protein names,Gene Names,name,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Gene Ontology IDs
O95466,FMNL1_HUMAN,Formin-like protein 1 (CLL-associated antigen KW-13) (Leukocyte formin),FMNL1 C17orf1 C17orf1B FMNL FRL1,9606.ENSP00000329219,actin filament severing [GO:0051014]; cell migration [GO:0016477]; cortical actin cytoskeleton organization [GO:0030866]; regulation of cell shape [GO:0008360],bleb [GO:0032059]; cell cortex [GO:0005938]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886],bleb [GO:0032059]; cell cortex [GO:0005938]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; GTPase activating protein binding [GO:0032794]; small GTPase binding [GO:0031267]; actin filament severing [GO:0051014]; cell migration [GO:0016477]; cortical actin cytoskeleton organization [GO:0030866]; regulation of cell shape [GO:0008360],actin filament binding [GO:0051015]; GTPase activating protein binding [GO:0032794]; small GTPase binding [GO:0031267],GO:0005829; GO:0005886; GO:0005938; GO:0008360; GO:0016020; GO:0016477; GO:0030866; GO:0031267; GO:0032059; GO:0032794; GO:0045335; GO:0051014; GO:0051015; GO:0070062
P04156,PRIO_HUMAN,Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230),PRNP ALTPRP PRIP PRP,9606.ENSP00000399376,cellular response to amyloid-beta [GO:1904646]; cellular response to copper ion [GO:0071280]; cellular response to xenobiotic stimulus [GO:0071466]; dendritic spine maintenance [GO:0097062]; intracellular copper ion homeostasis [GO:0006878]; intracellular signal transduction [GO:0035556]; learning or memory [GO:0007611]; long-term memory [GO:0007616]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of amyloid precursor protein catabolic process [GO:1902992]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of apoptotic process [GO:0043066]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of dendritic spine maintenance [GO:1902951]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of protein processing [GO:0010955]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection maintenance [GO:1990535]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of glutamate receptor signaling pathway [GO:1900451]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein targeting to membrane [GO:0090314]; protein destabilization [GO:0031648]; protein homooligomerization [GO:0051260]; regulation of calcium ion import across plasma membrane [GO:1905664]; regulation of cell cycle [GO:0051726]; regulation of glutamate receptor signaling pathway [GO:1900449]; regulation of potassium ion transmembrane transport [GO:1901379]; response to amyloid-beta [GO:1904645]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979],cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extrinsic component of membrane [GO:0019898]; Golgi apparatus [GO:0005794]; inclusion body [GO:0016234]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; terminal bouton [GO:0043195],cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extrinsic component of membrane [GO:0019898]; Golgi apparatus [GO:0005794]; inclusion body [GO:0016234]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; terminal bouton [GO:0043195]; amyloid-beta binding [GO:0001540]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; ATP-dependent protein binding [GO:0043008]; copper ion binding [GO:0005507]; cupric ion binding [GO:1903135]; cuprous ion binding [GO:1903136]; glycosaminoglycan binding [GO:0005539]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; microtubule binding [GO:0008017]; molecular adaptor activity [GO:0060090]; molecular condensate scaffold activity [GO:0140693]; molecular function activator activity [GO:0140677]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; signaling receptor activity [GO:0038023]; transmembrane transporter binding [GO:0044325]; tubulin binding [GO:0015631]; type 5 metabotropic glutamate receptor binding [GO:0031802]; cellular response to amyloid-beta [GO:1904646]; cellular response to copper ion [GO:0071280]; cellular response to xenobiotic stimulus [GO:0071466]; dendritic spine maintenance [GO:0097062]; intracellular copper ion homeostasis [GO:0006878]; intracellular signal transduction [GO:0035556]; learning or memory [GO:0007611]; long-term memory [GO:0007616]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of amyloid precursor protein catabolic process [GO:1902992]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of apoptotic process [GO:0043066]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of dendritic spine maintenance [GO:1902951]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of protein processing [GO:0010955]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection maintenance [GO:1990535]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of glutamate receptor signaling pathway [GO:1900451]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein targeting to membrane [GO:0090314]; protein destabilization [GO:0031648]; protein homooligomerization [GO:0051260]; regulation of calcium ion import across plasma membrane [GO:1905664]; regulation of cell cycle [GO:0051726]; regulation of glutamate receptor signaling pathway [GO:1900449]; regulation of potassium ion transmembrane transport [GO:1901379]; response to amyloid-beta [GO:1904645]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979],amyloid-beta binding [GO:0001540]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; ATP-dependent protein binding [GO:0043008]; copper ion binding [GO:0005507]; cupric ion binding [GO:1903135]; cuprous ion binding [GO:1903136]; glycosaminoglycan binding [GO:0005539]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; microtubule binding [GO:0008017]; molecular adaptor activity [GO:0060090]; molecular condensate scaffold activity [GO:0140693]; molecular function activator activity [GO:0140677]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; signaling receptor activity [GO:0038023]; transmembrane transporter binding [GO:0044325]; tubulin binding [GO:0015631]; type 5 metabotropic glutamate receptor binding [GO:0031802],GO:0000122; GO:0001540; GO:0002020; GO:0005507; GO:0005521; GO:0005539; GO:0005737; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0006878; GO:0006979; GO:0007611; GO:0007616; GO:0008017; GO:0009897; GO:0009986; GO:0010955; GO:0014069; GO:0015631; GO:0016234; GO:0019828; GO:0019898; GO:0030425; GO:0031648; GO:0031802; GO:0031965; GO:0032689; GO:0032700; GO:0032703; GO:0035556; GO:0038023; GO:0042802; GO:0043008; GO:0043066; GO:0043195; GO:0043525; GO:0044325; GO:0044877; GO:0045121; GO:0046007; GO:0046686; GO:0050850; GO:0050860; GO:0051087; GO:0051260; GO:0051726; GO:0060090; GO:0070062; GO:0070885; GO:0071280; GO:0071466; GO:0090314; GO:0097062; GO:0098794; GO:0140677; GO:0140693; GO:1900272; GO:1900449; GO:1900451; GO:1901379; GO:1902430; GO:1902951; GO:1902992; GO:1903078; GO:1903135; GO:1903136; GO:1904645; GO:1904646; GO:1905664; GO:1990535
P09651,ROA1_HUMAN,"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]",HNRNPA1 HNRPA1,9606.ENSP00000341826,"alternative mRNA splicing, via spliceosome [GO:0000380]; cellular response to glucose starvation [GO:0042149]; cellular response to sodium arsenite [GO:1903936]; import into nucleus [GO:0051170]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear export [GO:0051168]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA export from nucleus [GO:0006405]",catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; synapse [GO:0045202],"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; synapse [GO:0045202]; DNA binding [GO:0003677]; G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; telomeric repeat-containing RNA binding [GO:0061752]; alternative mRNA splicing, via spliceosome [GO:0000380]; cellular response to glucose starvation [GO:0042149]; cellular response to sodium arsenite [GO:1903936]; import into nucleus [GO:0051170]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear export [GO:0051168]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA export from nucleus [GO:0006405]",DNA binding [GO:0003677]; G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; telomeric repeat-containing RNA binding [GO:0061752],GO:0000380; GO:0000381; GO:0000398; GO:0003677; GO:0003697; GO:0003723; GO:0003727; GO:0003730; GO:0005634; GO:0005654; GO:0005681; GO:0005737; GO:0005829; GO:0006405; GO:0016020; GO:0019904; GO:0032211; GO:0032212; GO:0035198; GO:0036002; GO:0042149; GO:0042802; GO:0043484; GO:0045202; GO:0051028; GO:0051168; GO:0051170; GO:0061752; GO:0070062; GO:0071013; GO:0098505; GO:1903936; GO:1990904
P10636,TAU_HUMAN,Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau),MAPT MAPTL MTBT1 TAU,9606.ENSP00000340820,amyloid fibril formation [GO:1990000]; astrocyte activation [GO:0048143]; axon development [GO:0061564]; axonal transport [GO:0098930]; axonal transport of mitochondrion [GO:0019896]; cell-cell signaling [GO:0007267]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to heat [GO:0034605]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to reactive oxygen species [GO:0034614]; central nervous system neuron development [GO:0021954]; cytoplasmic microtubule organization [GO:0031122]; DNA damage response [GO:0006974]; generation of neurons [GO:0048699]; intracellular distribution of mitochondria [GO:0048312]; learning or memory [GO:0007611]; memory [GO:0007613]; microglial cell activation [GO:0001774]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; negative regulation of establishment of protein localization to mitochondrion [GO:1903748]; negative regulation of gene expression [GO:0010629]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of mitochondrial membrane potential [GO:0010917]; neurofibrillary tangle assembly [GO:1902988]; neuron projection development [GO:0031175]; plus-end-directed organelle transport along microtubule [GO:0072386]; positive regulation of axon extension [GO:0045773]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of protein localization [GO:1903829]; positive regulation of protein localization to synapse [GO:1902474]; positive regulation of superoxide anion generation [GO:0032930]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; regulation of autophagy [GO:0010506]; regulation of calcium-mediated signaling [GO:0050848]; regulation of cellular response to heat [GO:1900034]; regulation of chromosome organization [GO:0033044]; regulation of long-term synaptic depression [GO:1900452]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of microtubule polymerization [GO:0031113]; regulation of microtubule polymerization or depolymerization [GO:0031110]; regulation of microtubule-based movement [GO:0060632]; regulation of mitochondrial fission [GO:0090140]; regulation of synaptic plasticity [GO:0048167]; response to lead ion [GO:0010288]; rRNA metabolic process [GO:0016072]; stress granule assembly [GO:0034063]; supramolecular fiber organization [GO:0097435]; synapse assembly [GO:0007416]; synapse organization [GO:0050808],axolemma [GO:0030673]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; extracellular region [GO:0005576]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; main axon [GO:0044304]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; neurofibrillary tangle [GO:0097418]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; somatodendritic compartment [GO:0036477]; tubulin complex [GO:0045298],axolemma [GO:0030673]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; extracellular region [GO:0005576]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; main axon [GO:0044304]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; neurofibrillary tangle [GO:0097418]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; somatodendritic compartment [GO:0036477]; tubulin complex [GO:0045298]; actin binding [GO:0003779]; apolipoprotein binding [GO:0034185]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; dynactin binding [GO:0034452]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone-dependent DNA binding [GO:0099077]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; lipoprotein particle binding [GO:0071813]; microtubule binding [GO:0008017]; microtubule lateral binding [GO:0099609]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol bisphosphate binding [GO:1902936]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein-folding chaperone binding [GO:0051087]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; SH3 domain binding [GO:0017124]; single-stranded DNA binding [GO:0003697]; amyloid fibril formation [GO:1990000]; astrocyte activation [GO:0048143]; axon development [GO:0061564]; axonal transport [GO:0098930]; axonal transport of mitochondrion [GO:0019896]; cell-cell signaling [GO:0007267]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to heat [GO:0034605]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to reactive oxygen species [GO:0034614]; central nervous system neuron development [GO:0021954]; cytoplasmic microtubule organization [GO:0031122]; DNA damage response [GO:0006974]; generation of neurons [GO:0048699]; intracellular distribution of mitochondria [GO:0048312]; learning or memory [GO:0007611]; memory [GO:0007613]; microglial cell activation [GO:0001774]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; negative regulation of establishment of protein localization to mitochondrion [GO:1903748]; negative regulation of gene expression [GO:0010629]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of mitochondrial membrane potential [GO:0010917]; neurofibrillary tangle assembly [GO:1902988]; neuron projection development [GO:0031175]; plus-end-directed organelle transport along microtubule [GO:0072386]; positive regulation of axon extension [GO:0045773]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of protein localization [GO:1903829]; positive regulation of protein localization to synapse [GO:1902474]; positive regulation of superoxide anion generation [GO:0032930]; protein homooligomerization [GO:0051260]; protein polymerization [GO:0051258]; regulation of autophagy [GO:0010506]; regulation of calcium-mediated signaling [GO:0050848]; regulation of cellular response to heat [GO:1900034]; regulation of chromosome organization [GO:0033044]; regulation of long-term synaptic depression [GO:1900452]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of microtubule polymerization [GO:0031113]; regulation of microtubule polymerization or depolymerization [GO:0031110]; regulation of microtubule-based movement [GO:0060632]; regulation of mitochondrial fission [GO:0090140]; regulation of synaptic plasticity [GO:0048167]; response to lead ion [GO:0010288]; rRNA metabolic process [GO:0016072]; stress granule assembly [GO:0034063]; supramolecular fiber organization [GO:0097435]; synapse assembly [GO:0007416]; synapse organization [GO:0050808],actin binding [GO:0003779]; apolipoprotein binding [GO:0034185]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; dynactin binding [GO:0034452]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone-dependent DNA binding [GO:0099077]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; lipoprotein particle binding [GO:0071813]; microtubule binding [GO:0008017]; microtubule lateral binding [GO:0099609]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; phosphatidylinositol binding [GO:0035091]; phosphatidylinositol bisphosphate binding [GO:1902936]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein-folding chaperone binding [GO:0051087]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; SH3 domain binding [GO:0017124]; single-stranded DNA binding [GO:0003697],GO:0000226; GO:0001774; GO:0003677; GO:0003680; GO:0003690; GO:0003697; GO:0003723; GO:0003779; GO:0004857; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005874; GO:0005886; GO:0006974; GO:0007267; GO:0007416; GO:0007611; GO:0007613; GO:0008017; GO:0010288; GO:0010506; GO:0010629; GO:0010917; GO:0015630; GO:0016072; GO:0017124; GO:0019896; GO:0019899; GO:0019901; GO:0021954; GO:0030424; GO:0030425; GO:0030426; GO:0030673; GO:0030674; GO:0031110; GO:0031113; GO:0031116; GO:0031122; GO:0031175; GO:0032930; GO:0033044; GO:0034063; GO:0034185; GO:0034399; GO:0034452; GO:0034605; GO:0034614; GO:0035091; GO:0036464; GO:0036477; GO:0042802; GO:0043005; GO:0043025; GO:0043197; GO:0043565; GO:0044297; GO:0044304; GO:0045121; GO:0045298; GO:0045773; GO:0046785; GO:0048143; GO:0048167; GO:0048312; GO:0048699; GO:0050808; GO:0050848; GO:0051087; GO:0051258; GO:0051260; GO:0051721; GO:0051879; GO:0060632; GO:0061564; GO:0070507; GO:0071813; GO:0072386; GO:0090140; GO:0090258; GO:0097386; GO:0097418; GO:0097435; GO:0098930; GO:0099077; GO:0099609; GO:1900034; GO:1900452; GO:1902474; GO:1902936; GO:1902988; GO:1903748; GO:1903829; GO:1904115; GO:1990000; GO:1990090; GO:1990416
P14136,GFAP_HUMAN,Glial fibrillary acidic protein (GFAP),GFAP,9606.ENSP00000253408,astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; D-aspartate import across plasma membrane [GO:0070779]; enteric nervous system development [GO:0048484]; extracellular matrix organization [GO:0030198]; gene expression [GO:0010467]; intermediate filament organization [GO:0045109]; intracellular protein transport [GO:0006886]; long-term synaptic potentiation [GO:0060291]; negative regulation of neuron projection development [GO:0010977]; neural crest cell migration [GO:0001755]; neuron projection regeneration [GO:0031102]; positive regulation of Schwann cell proliferation [GO:0010625]; regulation of chaperone-mediated autophagy [GO:1904714]; regulation of neurotransmitter uptake [GO:0051580]; regulation of protein-containing complex assembly [GO:0043254]; Schwann cell proliferation [GO:0014010],astrocyte end-foot [GO:0097450]; cell body [GO:0044297]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoplasmic side of lysosomal membrane [GO:0098574]; cytosol [GO:0005829]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111],astrocyte end-foot [GO:0097450]; cell body [GO:0044297]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoplasmic side of lysosomal membrane [GO:0098574]; cytosol [GO:0005829]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; kinase binding [GO:0019900]; structural constituent of cytoskeleton [GO:0005200]; astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; D-aspartate import across plasma membrane [GO:0070779]; enteric nervous system development [GO:0048484]; extracellular matrix organization [GO:0030198]; gene expression [GO:0010467]; intermediate filament organization [GO:0045109]; intracellular protein transport [GO:0006886]; long-term synaptic potentiation [GO:0060291]; negative regulation of neuron projection development [GO:0010977]; neural crest cell migration [GO:0001755]; neuron projection regeneration [GO:0031102]; positive regulation of Schwann cell proliferation [GO:0010625]; regulation of chaperone-mediated autophagy [GO:1904714]; regulation of neurotransmitter uptake [GO:0051580]; regulation of protein-containing complex assembly [GO:0043254]; Schwann cell proliferation [GO:0014010],identical protein binding [GO:0042802]; integrin binding [GO:0005178]; kinase binding [GO:0019900]; structural constituent of cytoskeleton [GO:0005200],GO:0001755; GO:0005178; GO:0005200; GO:0005737; GO:0005829; GO:0005882; GO:0006886; GO:0010467; GO:0010625; GO:0010977; GO:0014002; GO:0014010; GO:0019900; GO:0030198; GO:0031102; GO:0042802; GO:0042995; GO:0043254; GO:0044297; GO:0045109; GO:0045111; GO:0048484; GO:0051580; GO:0060020; GO:0060291; GO:0070779; GO:0097450; GO:0098574; GO:1904714
P22626,ROA2_HUMAN,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1),HNRNPA2B1 HNRPA2B1,9606.ENSP00000346694,"DNA geometric change [GO:0032392]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA transport [GO:0050658]","Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]","Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; DNA polymerase binding [GO:0070182]; G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; molecular condensate scaffold activity [GO:0140693]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA reader activity [GO:1990247]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]; DNA geometric change [GO:0032392]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA transport [GO:0050658]",DNA polymerase binding [GO:0070182]; G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; molecular condensate scaffold activity [GO:0140693]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA reader activity [GO:1990247]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047],GO:0000398; GO:0000781; GO:0003723; GO:0003730; GO:0005634; GO:0005654; GO:0005681; GO:0005737; GO:0006397; GO:0006406; GO:0015030; GO:0016020; GO:0016363; GO:0031053; GO:0032392; GO:0035198; GO:0042802; GO:0043047; GO:0050658; GO:0051028; GO:0070062; GO:0070182; GO:0071013; GO:0098505; GO:0140693; GO:1904358; GO:1990247; GO:1990428; GO:1990904
P26368,U2AF2_HUMAN,Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit),U2AF2 U2AF65,9606.ENSP00000307863,"mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of RNA splicing [GO:0033120]; spliceosomal complex assembly [GO:0000245]",commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701],"commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701]; C2H2 zinc finger domain binding [GO:0070742]; enzyme binding [GO:0019899]; molecular function inhibitor activity [GO:0140678]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of RNA splicing [GO:0033120]; spliceosomal complex assembly [GO:0000245]",C2H2 zinc finger domain binding [GO:0070742]; enzyme binding [GO:0019899]; molecular function inhibitor activity [GO:0140678]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]; RNA binding [GO:0003723],GO:0000243; GO:0000245; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0006397; GO:0008187; GO:0016607; GO:0019899; GO:0030628; GO:0031397; GO:0033120; GO:0048025; GO:0070742; GO:0071004; GO:0089701; GO:0140678
