"#node1","automated_textmining","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"PRKN","0","0.422","0","304.0","0.422","0","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000448182","TBC1D15","2","false","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000448182"
"PRKN","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000391311","SEPTIN5","2","false","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000391311"
"PRKN","0","0.55","0","294.31253191253177","0.55","0","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000374455","SQSTM1","2","false","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000374455"
"PRKN","0","0.457","0","354.2191253191252","0.457","0","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000400906","UBE2L3","2","false","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000400906"
"PRKN","0","0.457","0","364.0467824573088","0.457","0","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000500990","SNCA","2","false","interacts with","9606.ENSP00000355865 (interacts with) 9606.ENSP00000500990"
"APP","0","0.549","0","604.0","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000168216","HSD17B10","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000168216"
"APP","0","0.549","0","240.66060606060606","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000222330","GSK3A","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000222330"
"APP","0","0.483","0","331.811111111111","0.483","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000241014","MAPK8IP1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000241014"
"APP","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000257626","GSAP","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000257626"
"APP","0","0.618","0","424.6634920634919","0.618","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000260197","SORL1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000260197"
"APP","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366513","CLSTN1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366513"
"APP","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000382083","COL25A1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000382083"
"APP","0","0.549","0","371.10598290598256","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000324806","GSK3B","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000324806"
"APP","0","0.483","0","509.1887279387282","0.483","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000365576"
"APP","0","0.42","0","437.5535242535247","0.421","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000451300"
"APP","0","0.549","0","304.0","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000399376","PRNP","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000399376"
"APP","0","0.946","0","459.2321511821511","0.946","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000326366","PSEN1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000326366"
"APP","0","0.483","0","234.0507936507936","0.483","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000318585","BACE1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000318585"
"APP","0","0.512","0","304.0","0.512","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000296861","TNFRSF21","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000296861"
"APP","0","0.479","0","157.17978279030913","0.479","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000284440","UCHL1","3","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000284440"
"APP","0","0.457","0","1583.431512931513","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000355865","PRKN","2","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000355865"
"APP","0","0.542","0","1818.788041198567","0.542","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000500990","SNCA","3","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000500990"
"APP","0","0.57","0","949.5233211233215","0.57","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000340820","MAPT","3","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000340820"
"APP","0","0.929","0","304.0","0.929","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366047","KLK6","3","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366047"
"SNCA","0","0.483","0","838.259225569752","0.483","0","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000441543"
"SNCA","0","0.526","0","184.9209457209457","0.526","0","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000261367","SNCAIP","2","false","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000261367"
"SNCA","0","0.412","0","241.33177933177933","0.412","0","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000374455","SQSTM1","3","false","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000374455"
"SNCA","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000377296","SNCB","3","false","interacts with","9606.ENSP00000500990 (interacts with) 9606.ENSP00000377296"
"MAPT","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000012443","PPP5C","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000012443"
"MAPT","0","0.438","0","325.52698412698373","0.438","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000262891","MARK4","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000262891"
"MAPT","0","0.57","0","1313.2047619047617","0.57","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000264335"
"MAPT","0","0.457","0","517.7761516261521","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000272317"
"MAPT","0","0.457","0","257.82222222222214","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000483424","MARK1","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000483424"
"MAPT","0","0.618","0","581.3492063492064","0.618","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000385751","MARK2","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000385751"
"MAPT","0","0.457","0","1421.1639138639127","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000355865","PRKN","2","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000355865"
"MAPT","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000377036","PTPA","2","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000377036"
"MAPT","0","0.457","0","124.30476190476188","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000374455","SQSTM1","3","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000374455"
"MAPT","0","0.457","0","1174.3827505827494","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000500990","SNCA","3","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000500990"
"ATP5PF","0","0.629","0","304.0","0.629","0","interacts with","9606.ENSP00000389649 (interacts with) 9606.ENSP00000423673","NDUFA13","2","false","interacts with","9606.ENSP00000389649 (interacts with) 9606.ENSP00000423673"
"CAV1","0","0.457","0","48.25873015873019","0.457","0","interacts with","9606.ENSP00000339191 (interacts with) 9606.ENSP00000261349","LRP6","2","false","interacts with","9606.ENSP00000339191 (interacts with) 9606.ENSP00000261349"
"CAV1","0","0.457","0","234.54236874236813","0.457","0","interacts with","9606.ENSP00000339191 (interacts with) 9606.ENSP00000374455","SQSTM1","2","false","interacts with","9606.ENSP00000339191 (interacts with) 9606.ENSP00000374455"
"CAV1","0","0.457","0","71.22967032967043","0.457","0","interacts with","9606.ENSP00000339191 (interacts with) 9606.ENSP00000351777","VCP","2","false","interacts with","9606.ENSP00000339191 (interacts with) 9606.ENSP00000351777"
"LRP6","0","0.457","0","328.30634920634907","0.457","0","interacts with","9606.ENSP00000261349 (interacts with) 9606.ENSP00000298910","LRRK2","2","false","interacts with","9606.ENSP00000261349 (interacts with) 9606.ENSP00000298910"
"SQSTM1","0","0.619","0","71.57599067599064","0.619","0","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000441543"
"SQSTM1","0","0.457","0","135.6333333333336","0.457","0","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000378487","VDAC1","1","false","interacts with","9606.ENSP00000374455 (interacts with) 9606.ENSP00000378487"
"CDK5","0","0.973","0","304.0","0.973","0","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000318486","CDK5R1","1","false","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000318486"
"CDK5","0","0.457","0","287.63333333333367","0.457","0","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000298910","LRRK2","3","false","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000298910"
"CDK5","0","0.457","0","440.2333333333333","0.457","0","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000340820","MAPT","3","false","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000340820"
"LRRK2","0","0.457","0","604.0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000262554","SPTLC1","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000262554"
"LRRK2","0","0.46","0","1014.630158730159","0.46","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264335"
"LRRK2","0","0.457","0","771.2771295955507","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000272317"
"LRRK2","0","0.457","0","168.3666666666668","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000378487","VDAC1","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000378487"
"LRRK2","0","0.457","0","524.8054682159946","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264710","RAB10","3","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264710"
"LRRK2","0","0.457","0","159.50606060606054","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000374455","SQSTM1","3","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000374455"
"LRRK2","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000409667","SYNJ1","2","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000409667"
"LRRK2","0","0.457","0","621.6731601731598","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000340820","MAPT","3","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000340820"
"LRRK2","0","0.457","0","495.3612440191391","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000300935","RAB8A","2","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000300935"
