"#node1","automated_textmining","combined_score","database_annotated","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"CAPNS1","0","0.655","0","0.655","0","interacts with","9606.ENSP00000464849 (interacts with) 9606.ENSP00000400882","CAPNS2","1","false","interacts with","9606.ENSP00000464849 (interacts with) 9606.ENSP00000400882"
"CAPNS1","0","0.441","0","0.441","0","interacts with","9606.ENSP00000464849 (interacts with) 9606.ENSP00000422176","CAST","1","false","interacts with","9606.ENSP00000464849 (interacts with) 9606.ENSP00000422176"
"CAPN2","0","0.681","0","0.681","0","interacts with","9606.ENSP00000295006 (interacts with) 9606.ENSP00000422176","CAST","1","false","interacts with","9606.ENSP00000295006 (interacts with) 9606.ENSP00000422176"
"CAPN2","0","0.961","0","0.961","0","interacts with","9606.ENSP00000295006 (interacts with) 9606.ENSP00000464849","CAPNS1","1","false","interacts with","9606.ENSP00000295006 (interacts with) 9606.ENSP00000464849"
"CDC25A","0","0.457","0","0.457","0","interacts with","9606.ENSP00000303706 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000303706 (interacts with) 9606.ENSP00000264335"
"CDC25B","0","0.457","0","0.457","0","interacts with","9606.ENSP00000245960 (interacts with) 9606.ENSP00000419782","CDK5","1","false","interacts with","9606.ENSP00000245960 (interacts with) 9606.ENSP00000419782"
"CDC25B","0","0.457","0","0.457","0","interacts with","9606.ENSP00000245960 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000245960 (interacts with) 9606.ENSP00000264335"
"CDK5","0","0.457","0","0.457","0","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000298910","LRRK2","1","false","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000298910"
"CDK5","0","0.973","0","0.973","0","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000318486","CDK5R1","1","false","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000318486"
"CDK5","0","0.457","0","0.457","0","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000419782 (interacts with) 9606.ENSP00000340820"
"CDC25C","0","0.457","0","0.457","0","interacts with","9606.ENSP00000321656 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000321656 (interacts with) 9606.ENSP00000264335"
"CDC25C","0","0.457","0","0.457","0","interacts with","9606.ENSP00000321656 (interacts with) 9606.ENSP00000411397","MARK3","1","false","interacts with","9606.ENSP00000321656 (interacts with) 9606.ENSP00000411397"
"MARK3","0","0.538","0","0.538","0","interacts with","9606.ENSP00000411397 (interacts with) 9606.ENSP00000262891","MARK4","1","false","interacts with","9606.ENSP00000411397 (interacts with) 9606.ENSP00000262891"
"MARK3","0","0.457","0","0.457","0","interacts with","9606.ENSP00000411397 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000411397 (interacts with) 9606.ENSP00000264335"
"CLN3","0","0.42","0","0.421","0","interacts with","9606.ENSP00000454229 (interacts with) 9606.ENSP00000387262","IMMT","1","false","interacts with","9606.ENSP00000454229 (interacts with) 9606.ENSP00000387262"
"CNR1","0","0.483","0","0.483","0","interacts with","9606.ENSP00000358513 (interacts with) 9606.ENSP00000363596","CNR2","1","false","interacts with","9606.ENSP00000358513 (interacts with) 9606.ENSP00000363596"
"CTSD","0","0.437","0","0.437","0","interacts with","9606.ENSP00000236671 (interacts with) 9606.ENSP00000253719","NAPSA","1","false","interacts with","9606.ENSP00000236671 (interacts with) 9606.ENSP00000253719"
"DNM1L","0","0.457","0","0.457","0","interacts with","9606.ENSP00000449089 (interacts with) 9606.ENSP00000298910","LRRK2","1","false","interacts with","9606.ENSP00000449089 (interacts with) 9606.ENSP00000298910"
"GAPDH","0","0.418","0","0.418","0","interacts with","9606.ENSP00000380070 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000380070 (interacts with) 9606.ENSP00000264335"
"GDNF","0","0.404","0","0.405","0","interacts with","9606.ENSP00000409007 (interacts with) 9606.ENSP00000260197","SORL1","1","false","interacts with","9606.ENSP00000409007 (interacts with) 9606.ENSP00000260197"
"GOLGA2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000416097 (interacts with) 9606.ENSP00000298910","LRRK2","1","false","interacts with","9606.ENSP00000416097 (interacts with) 9606.ENSP00000298910"
