"#node1","automated_textmining","combined_score","database_annotated","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"AP2M1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000451300"
"AP2A2","0","0.973","0","0.973","0","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000403362","AP2M1","1","false","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000403362"
"AP2A2","0","0.966","0","0.966","0","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000483185","AP2B1","1","false","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000483185"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000262554","SPTLC1","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000262554"
"LRRK2","0","0.46","0","0.46","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264335"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264710","RAB10","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000264710"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000272317"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000378487","VDAC1","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000378487"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000374455","SQSTM1","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000374455"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000340820"
"LRRK2","0","0.457","0","0.457","0","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000500990","SNCA","1","false","interacts with","9606.ENSP00000298910 (interacts with) 9606.ENSP00000500990"
"MAPT","0","0.457","0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000012443","PPP5C","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000012443"
"MAPT","0","0.438","0","0.438","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000262891","MARK4","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000262891"
"MAPT","0","0.57","0","0.57","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000264335","YWHAE","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000264335"
"MAPT","0","0.457","0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000272317"
"MAPT","0","0.457","0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000483424","MARK1","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000483424"
"MAPT","0","0.457","0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000374455","SQSTM1","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000374455"
"MAPT","0","0.457","0","0.457","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000500990","SNCA","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000500990"
"MAPT","0","0.618","0","0.618","0","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000385751","MARK2","1","false","interacts with","9606.ENSP00000340820 (interacts with) 9606.ENSP00000385751"
"APBB1","0","0.667","0","0.667","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000221891","APLP1","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000221891"
"APBB1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000263233","SYP","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000263233"
"APBB1","0","0.95","0","0.95","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000284981","APP","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000284981"
"APBB1","0","0.528","0","0.528","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000497691","APLP2","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000497691"
"APP","0","0.549","0","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000168216","HSD17B10","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000168216"
"APP","0","0.549","0","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000222330","GSK3A","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000222330"
"APP","0","0.483","0","0.483","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000241014","MAPK8IP1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000241014"
"APP","0","0.457","0","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000257626","GSAP","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000257626"
"APP","0","0.618","0","0.618","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000260197","SORL1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000260197"
"APP","0","0.479","0","0.479","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000284440","UCHL1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000284440"
"APP","0","0.457","0","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366513","CLSTN1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366513"
"APP","0","0.457","0","0.457","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000382083","COL25A1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000382083"
"APP","0","0.549","0","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000324806","GSK3B","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000324806"
"APP","0","0.483","0","0.483","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000365576"
"APP","0","0.42","0","0.421","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000451300"
"APP","0","0.542","0","0.542","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000500990","SNCA","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000500990"
"APP","0","0.57","0","0.57","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000340820"
"APP","0","0.929","0","0.929","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366047","KLK6","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000366047"
"APP","0","0.549","0","0.549","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000399376","PRNP","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000399376"
"APP","0","0.946","0","0.946","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000326366","PSEN1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000326366"
"APP","0","0.483","0","0.483","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000318585","BACE1","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000318585"
"APP","0","0.512","0","0.512","0","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000296861","TNFRSF21","1","false","interacts with","9606.ENSP00000284981 (interacts with) 9606.ENSP00000296861"
"APOE","0","0.57","0","0.57","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000340820"
"APOE","0","0.691","0","0.691","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000500990","SNCA","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000500990"
"APOE","0","0.514","0","0.514","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000362205","TREM2","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000362205"
"APOE","0","0.457","0","0.457","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000303634","LRP8","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000303634"
"APOE","0","0.549","0","0.549","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000260197","SORL1","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000260197"
"APOE","0","0.621","0","0.621","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000284981","APP","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000284981"
