node1_string_id,node2_string_id,num_id_1,num_id_2
9606.ENSP00000249647,9606.ENSP00000262640,0,14
9606.ENSP00000249647,9606.ENSP00000263864,0,30
9606.ENSP00000249647,9606.ENSP00000418572,0,18
9606.ENSP00000249647,9606.ENSP00000317714,0,19
9606.ENSP00000254976,9606.ENSP00000054666,16,23
9606.ENSP00000254976,9606.ENSP00000215095,16,17
9606.ENSP00000254976,9606.ENSP00000215730,16,11
9606.ENSP00000254976,9606.ENSP00000222812,16,24
9606.ENSP00000254976,9606.ENSP00000320679,16,27
9606.ENSP00000254976,9606.ENSP00000356540,16,9
9606.ENSP00000254976,9606.ENSP00000376178,16,13
9606.ENSP00000254976,9606.ENSP00000360183,16,2
9606.ENSP00000254976,9606.ENSP00000258301,16,6
9606.ENSP00000254976,9606.ENSP00000338562,16,22
9606.ENSP00000254976,9606.ENSP00000259400,16,15
9606.ENSP00000254976,9606.ENSP00000379602,16,12
9606.ENSP00000254976,9606.ENSP00000363054,16,26
9606.ENSP00000254976,9606.ENSP00000263864,16,30
9606.ENSP00000254976,9606.ENSP00000317714,16,19
9606.ENSP00000254976,9606.ENSP00000262640,16,14
9606.ENSP00000254976,9606.ENSP00000418572,16,18
9606.ENSP00000215730,9606.ENSP00000054666,11,23
9606.ENSP00000215730,9606.ENSP00000215095,11,17
9606.ENSP00000215730,9606.ENSP00000305810,11,33
9606.ENSP00000215730,9606.ENSP00000376178,11,13
9606.ENSP00000215730,9606.ENSP00000356540,11,9
9606.ENSP00000215730,9606.ENSP00000379602,11,12
9606.ENSP00000215730,9606.ENSP00000294179,11,21
9606.ENSP00000215730,9606.ENSP00000303437,11,36
9606.ENSP00000215730,9606.ENSP00000376792,11,28
9606.ENSP00000215730,9606.ENSP00000305255,11,35
9606.ENSP00000215730,9606.ENSP00000418572,11,18
9606.ENSP00000215730,9606.ENSP00000360183,11,2
9606.ENSP00000215730,9606.ENSP00000363054,11,26
9606.ENSP00000215730,9606.ENSP00000222812,11,24
9606.ENSP00000215730,9606.ENSP00000338562,11,22
9606.ENSP00000215730,9606.ENSP00000258301,11,6
9606.ENSP00000215730,9606.ENSP00000317714,11,19
9606.ENSP00000215730,9606.ENSP00000356918,11,4
9606.ENSP00000215730,9606.ENSP00000263864,11,30
9606.ENSP00000215730,9606.ENSP00000259400,11,15
9606.ENSP00000215730,9606.ENSP00000262640,11,14
9606.ENSP00000314157,9606.ENSP00000054666,25,23
9606.ENSP00000314157,9606.ENSP00000263864,25,30
9606.ENSP00000314157,9606.ENSP00000263897,25,32
9606.ENSP00000314157,9606.ENSP00000305810,25,33
9606.ENSP00000314157,9606.ENSP00000363054,25,26
9606.ENSP00000314157,9606.ENSP00000356918,25,4
9606.ENSP00000314157,9606.ENSP00000338562,25,22
9606.ENSP00000466298,9606.ENSP00000054666,7,23
9606.ENSP00000466298,9606.ENSP00000258301,7,6
9606.ENSP00000466298,9606.ENSP00000338562,7,22
9606.ENSP00000466298,9606.ENSP00000356918,7,4
9606.ENSP00000466298,9606.ENSP00000360183,7,2
9606.ENSP00000466298,9606.ENSP00000363054,7,26
9606.ENSP00000466298,9606.ENSP00000376792,7,28
9606.ENSP00000466298,9606.ENSP00000450731,7,34
9606.ENSP00000356540,9606.ENSP00000054666,9,23
9606.ENSP00000356540,9606.ENSP00000258301,9,6
9606.ENSP00000356540,9606.ENSP00000263864,9,30
9606.ENSP00000356540,9606.ENSP00000305255,9,35
9606.ENSP00000356540,9606.ENSP00000320679,9,27
9606.ENSP00000356540,9606.ENSP00000418572,9,18
9606.ENSP00000363054,9606.ENSP00000054666,26,23
9606.ENSP00000363054,9606.ENSP00000222812,26,24
9606.ENSP00000363054,9606.ENSP00000223369,26,5
9606.ENSP00000363054,9606.ENSP00000258301,26,6
9606.ENSP00000363054,9606.ENSP00000259400,26,15
9606.ENSP00000363054,9606.ENSP00000262640,26,14
9606.ENSP00000363054,9606.ENSP00000263864,26,30
9606.ENSP00000363054,9606.ENSP00000263897,26,32
9606.ENSP00000363054,9606.ENSP00000294179,26,21
9606.ENSP00000363054,9606.ENSP00000305255,26,35
9606.ENSP00000363054,9606.ENSP00000305810,26,33
9606.ENSP00000363054,9606.ENSP00000317714,26,19
9606.ENSP00000363054,9606.ENSP00000356918,26,4
9606.ENSP00000363054,9606.ENSP00000360183,26,2
9606.ENSP00000363054,9606.ENSP00000450731,26,34
9606.ENSP00000363054,9606.ENSP00000418572,26,18
9606.ENSP00000363054,9606.ENSP00000376792,26,28
9606.ENSP00000360183,9606.ENSP00000054666,2,23
9606.ENSP00000360183,9606.ENSP00000222812,2,24
9606.ENSP00000360183,9606.ENSP00000258301,2,6
9606.ENSP00000360183,9606.ENSP00000259400,2,15
9606.ENSP00000360183,9606.ENSP00000262640,2,14
9606.ENSP00000360183,9606.ENSP00000263864,2,30
9606.ENSP00000360183,9606.ENSP00000305810,2,33
9606.ENSP00000360183,9606.ENSP00000317714,2,19
9606.ENSP00000360183,9606.ENSP00000418572,2,18
9606.ENSP00000360183,9606.ENSP00000450731,2,34
9606.ENSP00000360183,9606.ENSP00000376792,2,28
9606.ENSP00000259400,9606.ENSP00000054666,15,23
9606.ENSP00000259400,9606.ENSP00000222812,15,24
9606.ENSP00000259400,9606.ENSP00000258301,15,6
9606.ENSP00000259400,9606.ENSP00000450731,15,34
9606.ENSP00000259400,9606.ENSP00000317714,15,19
9606.ENSP00000259400,9606.ENSP00000418572,15,18
9606.ENSP00000259400,9606.ENSP00000262640,15,14
9606.ENSP00000259400,9606.ENSP00000263864,15,30
9606.ENSP00000305810,9606.ENSP00000258301,33,6
9606.ENSP00000305810,9606.ENSP00000262640,33,14
9606.ENSP00000305810,9606.ENSP00000263864,33,30
9606.ENSP00000305810,9606.ENSP00000263897,33,32
9606.ENSP00000305810,9606.ENSP00000294179,33,21
9606.ENSP00000305810,9606.ENSP00000305255,33,35
9606.ENSP00000305810,9606.ENSP00000450731,33,34
9606.ENSP00000305810,9606.ENSP00000338562,33,22
9606.ENSP00000305810,9606.ENSP00000376792,33,28
9606.ENSP00000305810,9606.ENSP00000356918,33,4
9606.ENSP00000320679,9606.ENSP00000054666,27,23
9606.ENSP00000320679,9606.ENSP00000263864,27,30
9606.ENSP00000320679,9606.ENSP00000418572,27,18
9606.ENSP00000222812,9606.ENSP00000054666,24,23
9606.ENSP00000222812,9606.ENSP00000379602,24,12
9606.ENSP00000222812,9606.ENSP00000258301,24,6
9606.ENSP00000222812,9606.ENSP00000262640,24,14
9606.ENSP00000222812,9606.ENSP00000263864,24,30
9606.ENSP00000222812,9606.ENSP00000317714,24,19
9606.ENSP00000222812,9606.ENSP00000418572,24,18
9606.ENSP00000215095,9606.ENSP00000379602,17,12
9606.ENSP00000215095,9606.ENSP00000418572,17,18
9606.ENSP00000376178,9606.ENSP00000054666,13,23
9606.ENSP00000376178,9606.ENSP00000263864,13,30
9606.ENSP00000376178,9606.ENSP00000317714,13,19
9606.ENSP00000376178,9606.ENSP00000418572,13,18
9606.ENSP00000338562,9606.ENSP00000054666,22,23
9606.ENSP00000338562,9606.ENSP00000223369,22,5
9606.ENSP00000338562,9606.ENSP00000258301,22,6
9606.ENSP00000338562,9606.ENSP00000262640,22,14
9606.ENSP00000338562,9606.ENSP00000263864,22,30
9606.ENSP00000338562,9606.ENSP00000263897,22,32
9606.ENSP00000338562,9606.ENSP00000294179,22,21
9606.ENSP00000338562,9606.ENSP00000305255,22,35
9606.ENSP00000338562,9606.ENSP00000317714,22,19
9606.ENSP00000338562,9606.ENSP00000356918,22,4
9606.ENSP00000338562,9606.ENSP00000418572,22,18
9606.ENSP00000317714,9606.ENSP00000054666,19,23
9606.ENSP00000317714,9606.ENSP00000258301,19,6
9606.ENSP00000317714,9606.ENSP00000262640,19,14
9606.ENSP00000317714,9606.ENSP00000263864,19,30
9606.ENSP00000317714,9606.ENSP00000305255,19,35
9606.ENSP00000317714,9606.ENSP00000356918,19,4
9606.ENSP00000317714,9606.ENSP00000379602,19,12
9606.ENSP00000317714,9606.ENSP00000418572,19,18
9606.ENSP00000294179,9606.ENSP00000223369,21,5
9606.ENSP00000294179,9606.ENSP00000258301,21,6
9606.ENSP00000294179,9606.ENSP00000263897,21,32
9606.ENSP00000294179,9606.ENSP00000305255,21,35
9606.ENSP00000294179,9606.ENSP00000356918,21,4
9606.ENSP00000294179,9606.ENSP00000450731,21,34
9606.ENSP00000294179,9606.ENSP00000376792,21,28
9606.ENSP00000258301,9606.ENSP00000054666,6,23
9606.ENSP00000258301,9606.ENSP00000223369,6,5
9606.ENSP00000258301,9606.ENSP00000305255,6,35
9606.ENSP00000258301,9606.ENSP00000356918,6,4
9606.ENSP00000258301,9606.ENSP00000262640,6,14
9606.ENSP00000258301,9606.ENSP00000418572,6,18
9606.ENSP00000258301,9606.ENSP00000263864,6,30
9606.ENSP00000258301,9606.ENSP00000450731,6,34
9606.ENSP00000258301,9606.ENSP00000376792,6,28
9606.ENSP00000356918,9606.ENSP00000054666,4,23
9606.ENSP00000356918,9606.ENSP00000223369,4,5
9606.ENSP00000356918,9606.ENSP00000262640,4,14
9606.ENSP00000356918,9606.ENSP00000263864,4,30
9606.ENSP00000356918,9606.ENSP00000263897,4,32
9606.ENSP00000356918,9606.ENSP00000305255,4,35
9606.ENSP00000356918,9606.ENSP00000418572,4,18
9606.ENSP00000356918,9606.ENSP00000376792,4,28
9606.ENSP00000356918,9606.ENSP00000450731,4,34
9606.ENSP00000305255,9606.ENSP00000054666,35,23
9606.ENSP00000305255,9606.ENSP00000223369,35,5
9606.ENSP00000305255,9606.ENSP00000262640,35,14
9606.ENSP00000305255,9606.ENSP00000263864,35,30
9606.ENSP00000305255,9606.ENSP00000376792,35,28
9606.ENSP00000305255,9606.ENSP00000450731,35,34
9606.ENSP00000263897,9606.ENSP00000223369,32,5
9606.ENSP00000379602,9606.ENSP00000054666,12,23
9606.ENSP00000379602,9606.ENSP00000418572,12,18
9606.ENSP00000418572,9606.ENSP00000054666,18,23
9606.ENSP00000418572,9606.ENSP00000262640,18,14
9606.ENSP00000418572,9606.ENSP00000263864,18,30
9606.ENSP00000054666,9606.ENSP00000450731,23,34
9606.ENSP00000054666,9606.ENSP00000262640,23,14
9606.ENSP00000054666,9606.ENSP00000263864,23,30
9606.ENSP00000054666,9606.ENSP00000376792,23,28
9606.ENSP00000262640,9606.ENSP00000263864,14,30
9606.ENSP00000263864,9606.ENSP00000376792,30,28
9606.ENSP00000263864,9606.ENSP00000450731,30,34
9606.ENSP00000376792,9606.ENSP00000450731,28,34
